,D3g_O_P_A_f,D3g_O_P_P_f,D3g_O_P_L_f,D4g_O_P_N_f,D4g_O_P_A_f,D4g_O_P_P_f,D4g_O_P_L_f,D1g_O_N_N_f,D1g_O_N_A_f,D1g_O_N_P_f,D1g_O_N_L_f,D2g_O_N_N_f,D2g_O_N_A_f,D2g_O_N_P_f,D2g_O_N_L_f,D3g_O_P_N_f
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01409,12,5,12,2,6,4,8,1,0,0,3,12,8,1,0,12
FAM87B,0,0,2,0,0,1,3,0,0,3,2,0,0,0,0,0
LINC01128,196,143,289,185,273,153,331,342,115,97,302,299,312,258,4,304
LINC00115,57,49,96,35,50,45,140,86,26,50,101,45,77,37,1,98
FAM41C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LINC02593,6,0,1,6,0,0,5,14,6,3,0,0,1,12,0,0
SAMD11,32,24,30,11,5,5,10,39,19,5,17,4,11,16,0,12
NOC2L,13049,2939,2713,3053,3345,3864,4630,2774,8932,2337,2483,2276,2807,2828,45,5215
KLHL17,1768,1149,1622,1325,1276,1177,2585,688,1090,530,1229,703,1017,608,38,2133
PLEKHN1,646,537,505,130,189,664,1451,93,653,1168,588,78,108,260,9,221
PERM1,0,3,2,1,1,2,6,2,0,1,4,2,0,0,0,0
HES4,64,1870,143,3,10,2622,786,32,50,4544,208,19,10,615,10,13
ISG15,12275,81596,7573,1228,2940,114211,26381,917,6680,135151,6114,1163,2070,54468,261,2659
AGRN,4731,16124,7803,3469,7742,21068,21960,1766,3687,18873,8739,1649,4613,11235,233,6962
RNF223,0,4,1,0,2,1,1,0,0,1,1,0,0,0,0,0
C1orf159,2095,922,1045,1105,1358,1128,1980,548,1317,748,965,696,1006,670,18,1588
LINC01342,1,4,4,5,0,1,1,0,1,1,2,5,6,1,0,6
TTLL10-AS1,0,0,0,1,1,2,2,7,8,2,0,0,0,0,0,0
TTLL10,11,11,13,9,4,7,21,8,1,14,25,1,4,13,0,6
TNFRSF18,5706,722,515,575,1297,1023,2086,190,3536,1442,772,196,649,350,33,790
TNFRSF4,14703,802,550,899,2009,942,1601,173,11526,901,530,302,1181,830,18,1640
SDF4,16938,10867,8520,12182,14028,18158,21276,7037,11957,10760,8724,7574,10164,9930,192,16297
B3GALT6,2619,1529,949,1671,1778,2196,2110,700,1711,1422,1077,1124,1474,1768,17,1976
C1QTNF12,33,19,24,24,44,22,31,13,24,23,33,20,28,16,0,53
UBE2J2,3373,2016,1846,2449,2414,2672,3955,1419,2772,1818,1832,1622,1878,1734,36,2937
LINC01786,65,39,95,82,102,55,88,75,31,35,104,76,85,18,0,145
SCNN1D,232,241,333,409,352,233,553,170,203,107,330,368,423,201,10,546
ACAP3,3184,2575,2082,3482,3265,3535,3062,1744,2285,1869,1828,1845,2571,1632,38,5242
PUSL1,1311,536,401,665,636,666,762,252,1134,368,420,455,628,524,6,736
INTS11,6790,3402,3569,3037,3521,4071,5598,2803,4332,2649,3204,2596,3122,2856,59,5537
CPTP,1927,1756,1474,1603,1442,1702,3048,779,1619,1525,1558,1434,1656,1714,36,2133
TAS1R3,51,93,72,57,63,54,78,20,24,37,76,65,75,52,3,101
DVL1,4001,1938,2484,2547,2387,2194,4865,1265,3011,1550,2585,1841,2306,1787,57,3504
MXRA8,23,13,29,33,24,20,27,24,13,2,19,40,60,17,0,32
AURKAIP1,6108,2756,2085,2616,2838,3561,4649,1250,4845,2576,2159,1925,2225,2446,42,3600
CCNL2,4276,5704,5858,5492,5774,6198,9902,4998,2868,3639,5322,4198,5112,3996,89,9814
MRPL20-AS1,1150,760,758,599,642,966,1351,694,859,703,637,528,703,820,13,1168
MRPL20,1972,836,774,824,1080,1185,1200,1085,1260,629,628,626,756,799,19,1396
MRPL20-DT,38,29,29,33,18,17,31,24,19,11,20,29,28,14,0,33
ANKRD65,1,1,6,2,3,3,5,0,3,4,5,2,1,2,0,2
ANKRD65-AS1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01770,1,0,4,2,2,0,1,0,2,0,2,0,0,0,0,0
VWA1,13,21,20,9,6,12,64,6,43,40,52,5,8,14,3,4
ATAD3C,30,22,22,25,23,21,45,7,20,11,9,19,18,23,0,26
ATAD3B,6807,1514,1521,1504,1667,1924,2637,918,4495,1221,1528,746,919,690,18,2670
ATAD3A,7946,1248,904,1348,1596,1818,1620,846,6239,1092,792,1352,1758,1796,15,2125
TMEM240,4,0,17,19,11,10,34,17,6,7,22,17,22,13,0,24
SSU72,4354,2954,2588,3120,3629,3635,5158,3070,3267,2147,2124,2404,2756,2994,70,4635
FNDC10,647,243,328,959,1313,426,841,318,725,102,264,621,968,349,6,915
