,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01409,26,29,33,10,24,71,35,34,63,110,32,27,34,88,60,36
FAM87B,9,5,11,0,10,36,11,17,21,49,17,15,19,27,41,39
LINC01128,490,301,411,153,883,875,486,468,1065,1117,796,642,1057,1356,1482,824
LINC00115,13,12,17,9,18,83,34,31,46,48,21,29,68,61,81,76
FAM41C,0,0,0,1,0,3,0,0,0,4,0,0,0,0,2,6
LINC02593,0,2,5,4,0,0,1,2,0,0,0,0,4,0,6,2
SAMD11,904,131,172,127,1416,673,164,294,1770,702,351,589,1640,850,759,499
NOC2L,7477,1436,1494,1007,12291,6058,1657,3300,14936,6346,3034,5075,15253,7460,6058,4962
KLHL17,890,709,647,361,995,2247,735,1152,1592,2026,1228,961,1741,2180,2175,1357
PLEKHN1,266,244,144,332,347,632,142,949,503,608,262,755,669,729,511,1584
PERM1,76,53,51,43,87,122,28,197,95,121,60,133,156,146,143,339
HES4,162,163,12,798,50,66,4,1290,572,273,110,3748,299,637,241,2729
ISG15,11617,5657,721,30599,8846,9394,299,51126,21029,14936,2589,109332,32077,19478,5957,143793
AGRN,4456,3804,1481,4329,3106,6257,638,8752,6696,11180,3349,15925,9305,13314,8483,23389
RNF223,4,0,2,6,4,4,2,1,14,20,6,42,22,33,8,9
C1orf159,1094,522,440,369,1378,1767,522,1020,1853,1960,1085,1194,1938,2251,1938,1306
LINC01342,0,0,2,0,4,18,0,5,0,2,1,0,3,2,0,0
TTLL10-AS1,0,4,0,0,0,0,0,0,0,0,2,1,4,18,0,2
TTLL10,17,19,1,0,6,5,2,2,30,21,12,5,10,26,7,1
TNFRSF18,2734,700,309,210,4106,2454,166,500,6103,2140,1568,1712,5533,3293,1225,782
TNFRSF4,4529,265,78,108,6554,784,85,267,10755,1309,1545,1615,9780,1866,930,485
SDF4,7205,3059,3647,2666,10415,11293,3718,6608,16302,11279,8351,12207,14616,13040,15030,12221
B3GALT6,1404,490,678,504,2857,1828,688,1108,3628,2012,1376,2612,3648,2446,2689,1886
C1QTNF12,40,11,21,8,44,29,4,30,37,76,44,36,49,74,54,50
UBE2J2,2409,1016,1158,762,3493,3038,1178,1893,5103,3408,2728,3622,4923,3903,3950,3368
LINC01786,20,31,36,6,34,75,46,36,43,65,42,35,57,60,51,32
SCNN1D,154,77,93,52,177,348,164,227,226,422,282,207,273,295,369,187
ACAP3,2025,1023,1252,685,2697,3845,2085,2692,3635,3954,2300,2523,3699,3528,4223,3017
PUSL1,615,248,290,166,1211,684,311,443,1383,840,549,871,1573,911,812,651
INTS11,4800,2120,2288,1505,7369,8048,2740,5352,10055,10173,5106,7163,10754,9241,8653,7390
CPTP,594,280,472,310,1283,1596,598,913,1940,1871,1090,1858,2211,2451,2229,2044
TAS1R3,21,16,8,16,51,85,61,79,52,104,50,40,98,190,216,132
DVL1,2822,1130,1209,716,3988,4498,1509,2122,5274,4115,2918,2687,4985,4381,4030,3025
MXRA8,154,62,133,52,217,366,230,226,274,434,198,150,300,369,418,300
AURKAIP1,2750,876,1036,887,4273,3371,1173,2035,5780,3234,2528,4181,5688,3882,3710,3371
CCNL2,5946,4963,5616,3914,7038,15446,6384,13114,10408,17720,10557,11787,10311,16669,16617,13963
MRPL20-AS1,988,529,495,398,1857,2046,622,1340,1971,1914,1274,2105,2091,2032,1826,1801
MRPL20,2951,730,839,625,4930,2377,974,1757,5401,2950,1923,2828,5576,3156,3172,2692
MRPL20-DT,84,34,30,20,169,205,55,57,206,111,74,89,94,117,124,100
ANKRD65,12,0,0,1,2,8,2,2,1,2,4,0,4,4,0,1
ANKRD65-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM88B,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
VWA1,16,8,6,0,2,14,0,0,12,36,10,14,2,21,6,10
ATAD3C,14,5,12,4,108,63,24,39,46,45,22,34,22,26,18,32
ATAD3B,3800,1020,885,677,5866,3477,1083,2260,8780,4227,2028,3184,7577,3921,3480,2918
ATAD3A,2500,413,402,270,4619,1470,510,852,5769,1459,776,1233,5600,1902,1608,1183
TMEM240,84,84,39,45,59,44,54,51,7,33,48,25,22,22,27,5
SSU72,3466,1477,1915,1312,5911,6336,2447,4030,7525,6444,5088,6405,7352,6839,7187,5710
