D1h_O_N_A_f,D1h_O_N_N_f,D1h_O_N_P_f,D1h_O_N_L_f,D2h_O_N_A_f,D2h_O_N_N_f,D2h_O_N_P_f,D2h_O_N_L_f,D3h_O_P_A_f,D3h_O_P_P_f,D3h_O_P_L_f,D3h_O_P_N_f,D4h_O_P_A_f,D4h_O_P_P_f,D4h_O_P_L_f,D4h_O_P_N_f,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM87B,10,14,11,23,12,43,9,38,4,14,13,64,8,20,8,21,9,5,11,0,10,36,11,17,21,49,17,15,19,27,41,39
LINC00115,16,17,29,48,20,67,19,43,35,24,22,50,15,18,18,17,13,12,17,9,18,83,34,31,46,48,21,29,68,61,81,76
FAM41C,0,1,0,0,0,2,2,2,2,0,2,2,0,0,0,2,0,0,0,1,0,3,0,0,0,4,0,0,0,0,2,6
LINC02593,0,1,0,5,0,1,2,0,0,1,4,3,2,0,0,3,0,2,5,4,0,0,1,2,0,0,0,0,4,0,6,2
SAMD11,372,216,465,440,897,693,281,376,1998,357,352,639,1511,431,281,270,904,131,172,127,1416,673,164,294,1770,702,351,589,1640,850,759,499
NOC2L,3068,1699,3241,3487,6797,5593,2067,2564,13949,2495,2264,4917,9697,2841,2090,1958,7477,1436,1494,1007,12291,6058,1657,3300,14936,6346,3034,5075,15253,7460,6058,4962
KLHL17,590,504,811,1133,795,1504,453,864,1437,624,868,1778,1043,788,667,908,890,709,647,361,995,2247,735,1152,1592,2026,1228,961,1741,2180,2175,1357
PLEKHN1,165,126,319,327,222,140,108,79,489,277,334,251,245,299,187,83,266,244,144,332,347,632,142,949,503,608,262,755,669,729,511,1584
PERM1,38,38,81,71,50,22,23,21,112,47,89,41,53,61,35,18,76,53,51,43,87,122,28,197,95,121,60,133,156,146,143,339
HES4,9,1,60,42,23,4,199,0,50,276,72,3,28,765,233,6,162,163,12,798,50,66,4,1290,572,273,110,3748,299,637,241,2729
ISG15,643,602,13280,4502,3267,1712,10892,691,5400,15747,4626,945,1797,26977,4788,566,11617,5657,721,30599,8846,9394,299,51126,21029,14936,2589,109332,32077,19478,5957,143793
AGRN,3591,2354,15059,6205,3085,4229,7911,1062,3887,8758,5884,2382,1691,8627,4466,757,4456,3804,1481,4329,3106,6257,638,8752,6696,11180,3349,15925,9305,13314,8483,23389
RNF223,4,0,1,16,5,5,5,2,8,3,5,1,2,4,4,1,4,0,2,6,4,4,2,1,14,20,6,42,22,33,8,9
C1orf159,633,446,722,1256,1110,1500,447,690,1746,724,654,1481,1182,603,541,561,1094,522,440,369,1378,1767,522,1020,1853,1960,1085,1194,1938,2251,1938,1306
TTLL10-AS1,1,0,0,8,1,4,0,2,2,2,0,0,1,2,4,3,0,4,0,0,0,0,0,0,0,0,2,1,4,18,0,2
TTLL10,3,1,2,2,8,17,1,4,8,6,5,12,14,13,14,7,17,19,1,0,6,5,2,2,30,21,12,5,10,26,7,1
TNFRSF18,1714,108,169,888,1817,788,394,184,4087,221,392,302,3795,367,543,145,2734,700,309,210,4106,2454,166,500,6103,2140,1568,1712,5533,3293,1225,782
TNFRSF4,2273,91,147,482,3134,1083,719,183,7742,191,182,245,6753,659,404,111,4529,265,78,108,6554,784,85,267,10755,1309,1545,1615,9780,1866,930,485
SDF4,6287,4700,7500,7775,6860,10638,4040,5229,12470,5437,5396,11100,9740,6498,4453,4964,7205,3059,3647,2666,10415,11293,3718,6608,16302,11279,8351,12207,14616,13040,15030,12221
B3GALT6,1112,783,1328,1512,1617,2230,786,1036,3263,1131,1019,2137,2424,1300,807,861,1404,490,678,504,2857,1828,688,1108,3628,2012,1376,2612,3648,2446,2689,1886
C1QTNF12,3,19,14,33,12,32,10,10,40,24,15,49,24,16,17,28,40,11,21,8,44,29,4,30,37,76,44,36,49,74,54,50
UBE2J2,1573,1289,1944,2450,2409,3272,1106,1648,4455,1693,1760,3911,3461,1893,1415,1547,2409,1016,1158,762,3493,3038,1178,1893,5103,3408,2728,3622,4923,3903,3950,3368
SCNN1D,81,126,180,358,297,637,135,396,279,188,184,688,201,189,165,295,154,77,93,52,177,348,164,227,226,422,282,207,273,295,369,187
ACAP3,1634,1511,2348,1667,2697,4215,1297,2359,4135,2037,1180,4765,2973,2091,1153,2103,2025,1023,1252,685,2697,3845,2085,2692,3635,3954,2300,2523,3699,3528,4223,3017
PUSL1,392,338,473,524,706,815,305,409,1268,332,330,826,1066,444,305,364,615,248,290,166,1211,684,311,443,1383,840,549,871,1573,911,812,651
INTS11,2681,2171,3809,5717,5225,7271,2327,4075,8922,3671,3514,8147,7062,4355,3506,3690,4800,2120,2288,1505,7369,8048,2740,5352,10055,10173,5106,7163,10754,9241,8653,7390
CPTP,648,691,1075,1198,989,1586,455,910,1468,814,852,1861,1286,846,669,829,594,280,472,310,1283,1596,598,913,1940,1871,1090,1858,2211,2451,2229,2044
TAS1R3,21,37,63,86,24,111,30,66,63,50,61,159,47,58,58,59,21,16,8,16,51,85,61,79,52,104,50,40,98,190,216,132
DVL1,1329,1072,1701,2561,2037,3046,1035,1629,3806,1381,1664,3204,2997,1524,1264,1458,2822,1130,1209,716,3988,4498,1509,2122,5274,4115,2918,2687,4985,4381,4030,3025
MXRA8,148,151,190,332,249,565,121,324,357,264,255,856,222,220,178,252,154,62,133,52,217,366,230,226,274,434,198,150,300,369,418,300
AURKAIP1,1569,1121,1840,1977,2523,2805,984,1308,4878,1521,1531,2780,3749,1616,1267,1150,2750,876,1036,887,4273,3371,1173,2035,5780,3234,2528,4181,5688,3882,3710,3371
CCNL2,3575,5034,8691,13394,7502,19240,4961,10577,9421,8231,8197,24403,7541,10120,7518,9193,5946,4963,5616,3914,7038,15446,6384,13114,10408,17720,10557,11787,10311,16669,16617,13963
MRPL20,1370,981,1610,1949,2536,2506,1035,1264,5377,1459,1232,2932,3679,1673,1096,1149,2951,730,839,625,4930,2377,974,1757,5401,2950,1923,2828,5576,3156,3172,2692
ANKRD65,0,4,3,6,7,14,2,3,5,6,7,6,1,3,4,8,12,0,0,1,2,8,2,2,1,2,4,0,4,4,0,1
TMEM88B,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,7,5,3,8,6,14,8,3,9,8,45,9,8,1,19,1,16,8,6,0,2,14,0,0,12,36,10,14,2,21,6,10
ATAD3C,14,16,16,24,33,37,10,25,153,22,40,87,45,26,15,20,14,5,12,4,108,63,24,39,46,45,22,34,22,26,18,32
